M;L;dataname;model;n_neighs;points;1-NN;T;C;status;dimensions;restricted;artificial_connected
PCA;k2;mit-cbcl;mvu.based;12;2059;0.02234;0.988;0.997;Solved;7;None;None
PCA;k2;mit-cbcl;mvu.based;13;2059;0.02428;0.99;0.997;Solved;5;None;True
PCA;k2;mit-cbcl;mvu.based;14;2059;0.02088;0.992;0.998;Solved;8;None;True
PCA;k2;mit-cbcl;mvu.based;15;2059;0.01943;0.991;0.998;Solved;7;None;None
iterative;default;coil20;mvu.based;5;1440;0.08611;0.984;0.998;Solved;11;None;None
iterative;default;coil20;mvu.based;6;1440;0.09722;0.989;0.998;Solved;12;None;None
iterative;default;coil20;mvu.based;7;1440;0.05972;0.991;0.998;Solved;15;None;None
iterative;default;coil20;mvu.based;8;1440;0.07778;0.987;0.998;Solved;14;None;None
iterative;default;coil20;mvu.based;9;1440;0.11181;0.959;0.996;Solved;12;None;None
iterative;default;coil20;mvu.based;10;1440;0.09722;0.97;0.997;Solved;15;None;None
iterative;default;coil20;mvu.based;11;1440;0.11458;0.961;0.996;Solved;14;None;None
iterative;default;coil20;mvu.based;12;1440;0.12292;0.966;0.995;Solved;13;None;None
iterative;default;coil20;mvu.based;13;1440;0.13403;0.966;0.995;Solved;14;None;None
iterative;default;coil20;mvu.based;14;1440;0.12361;0.961;0.995;Solved;11;None;None
iterative;default;coil20;mvu.based;15;1440;0.05069;0.98;0.997;Solved;11;None;None
iterative;default;mit-cbcl;mvu.based;5;2059;0.45945;0.779;0.985;Solved;2;None;None
iterative;default;mit-cbcl;mvu.based;6;2059;0.07382;0.961;0.994;Solved;5;None;None
iterative;default;mit-cbcl;mvu.based;7;2059;0.05585;0.959;0.994;Solved;6;None;None
iterative;default;mit-cbcl;mvu.based;8;2059;0.02477;0.976;0.997;Solved;6;None;None
iterative;default;mit-cbcl;mvu.based;9;2059;0.02428;0.988;0.997;Solved;7;None;None
iterative;default;mit-cbcl;mvu.based;10;2059;0.0306;0.989;0.997;Solved;9;None;None
iterative;default;mit-cbcl;mvu.based;11;2059;0.02234;0.985;0.997;Solved;6;None;None
iterative;default;mit-cbcl;mvu.based;12;2059;0.02234;0.986;0.997;Solved;7;None;None
iterative;default;mit-cbcl;mvu.based;13;2059;0.02623;0.989;0.997;Solved;7;None;None
iterative;default;mit-cbcl;mvu.based;14;2059;0.02088;0.991;0.998;Solved;9;None;None
iterative;default;mit-cbcl;mvu.based;15;2059;0.01991;0.99;0.998;Solved;8;None;None
iterative;k2;coil20;mvu.based;5;1440;0.07917;0.981;0.998;Solved;10;None;True
iterative;k2;coil20;mvu.based;6;1440;0.1;0.987;0.998;Solved;10;None;True
iterative;k2;coil20;mvu.based;7;1440;0.06111;0.989;0.998;Solved;13;None;None
iterative;k2;coil20;mvu.based;8;1440;0.11597;0.965;0.997;Solved;10;None;True
iterative;k2;coil20;mvu.based;9;1440;0.11111;0.961;0.996;Solved;9;None;True
